Issue key,Issue id,Project Manager,Assignee,Status,Priority,Team Leader,Worker,Product Impact,Epic Link,Marketing Need,Business Impact,Customer Interest
SLE-19996,488132,#N/A,#N/A,In Progress,Should Have,yfjiang,none,#N/A,SLE-19964,#N/A,#N/A,#N/A
SLE-20070,488860,#N/A,matz2,In Progress,Should Have,matz2,#N/A,Medium,SLE-20049,High,#N/A,#N/A
SLE-20174,489179,#N/A,#N/A,In Progress,Should Have,matz2,matz2,High,SLE-20049,High,#N/A,#N/A
SLE-20173,489178,#N/A,simotek,Open,Should Have,kstreitova,#N/A,Medium,SLE-20049,High,#N/A,#N/A
SLE-20037,488439,#N/A,#N/A,Open,Must Have,STorresi,none,High,SLE-18310,#N/A,#N/A,#N/A
SLE-16385,443701,#N/A,#N/A,Planning,Must Have,#N/A,#N/A,#N/A,SLE-10622,#N/A,#N/A,#N/A
SLE-22702,502561,aginies,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-22678,Medium,Medium,High
SLE-21553,493575,aginies,#N/A,Planning,Should Have,ta-ro,#N/A,#N/A,SLE-21334,Low,Medium,High
SLE-21633,494164,aginies,NMoreyChaisemartin,Done,Should Have,ta-ro,#N/A,#N/A,SLE-21335,Low,Medium,High
SLE-20876,491271,#N/A,aginies,Done,Could Have,anicka,aginies,#N/A,SLE-19983,#N/A,#N/A,#N/A
SLE-20872,491267,#N/A,#N/A,Planning,Should Have,jmcdough,none,#N/A,SLE-17887,#N/A,#N/A,#N/A
SLE-20870,491265,aginies,aginies,In Progress,Should Have,jmcdough,none,#N/A,SLE-17777,#N/A,#N/A,#N/A
SLE-22030,495869,aginies,#N/A,Planning,Should Have,sfent,none,#N/A,SLE-21918,Low,Medium,High
SLE-22138,496661,aginies,#N/A,In Progress,Should Have,#N/A,none,#N/A,SLE-22050,Low,Medium,High
SLE-16221,443183,#N/A,#N/A,Planning,Could Have,#N/A,#N/A,#N/A,SLE-15465,#N/A,#N/A,#N/A
SLE-15439,440410,#N/A,smanolov,In Progress,Could Have,smanolov,smanolov,#N/A,SLE-15352,#N/A,#N/A,#N/A
SLE-15435,440406,#N/A,#N/A,Open,Could Have,#N/A,#N/A,#N/A,SLE-15352,#N/A,#N/A,#N/A
SLE-22825,502923,LMartin,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-22807,Medium,Medium,Medium
SLE-22282,498081,LMartin,#N/A,Rejected,Must Have,#N/A,none,#N/A,SLE-21647,Low,Medium,High
SLE-22280,498079,LMartin,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-21139,Low,Medium,High
SLE-20833,491188,#N/A,xarbulu,In Progress,Must Have,STorresi,none,Low,SLE-20623,Low,Medium,High
SLE-20825,491180,#N/A,#N/A,Rejected,Must Have,STorresi,none,High,SLE-20651,Low,Medium,High
SLE-20033,488435,#N/A,varkoly,Under Review,Could Have,STorresi,none,Low,SLE-20031,#N/A,#N/A,#N/A
SLE-18615,483690,#N/A,LMartin,Open,Must Have,STorresi,none,Low,SLE-18612,#N/A,#N/A,#N/A
SLE-18613,483688,#N/A,AngelaBriel,Open,Wish to Have,STorresi,none,Low,SLE-18607,#N/A,#N/A,#N/A
SLE-18114,480578,#N/A,AngelaBriel,Open,Should Have,STorresi,none,High,SLE-17885,#N/A,#N/A,#N/A
SLE-19457,486323,#N/A,LMartin,Open,Should Have,STorresi,none,Low,SLE-18604,#N/A,#N/A,#N/A
SLE-16347,443582,#N/A,AngelaBriel,Open,Could Have,STorresi,#N/A,Low,SLE-11220,#N/A,#N/A,#N/A
SLE-22718,502661,fcrozat,#N/A,Planning,Could Have,sfent,none,#N/A,SLE-22488,Low,Medium,High
SLE-21589,493774,suntorytimed,jsikes,Done,Could Have,kstreitova,pgajdos,Medium,SLE-21559,Low,Medium,High
SLE-21587,493772,suntorytimed,#N/A,In Progress,Should Have,yfjiang,none,#N/A,SLE-21555,Low,Medium,High
SLE-21899,495277,fcrozat,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-20650,Low,Medium,High
SLE-21613,493886,msmeissn,msmeissn,Done,Could Have,smanolov,msmeissn,#N/A,SLE-21612,Low,Medium,High
SLE-21272,492681,suntorytimed,sbrabec,In Progress,Wish to Have,kstreitova,none,Low,SLE-21105,Low,Medium,High
SLE-21268,492677,suntorytimed,sbrabec,Done,Should Have,kstreitova,none,Low,SLE-21103,Low,Medium,High
SLE-21264,492673,suntorytimed,sbrabec,Done,Should Have,kstreitova,none,Low,SLE-21104,Low,Medium,High
SLE-21260,492669,suntorytimed,sbrabec,In Progress,Should Have,kstreitova,none,Low,SLE-21099,Low,Medium,High
SLE-21186,492383,#N/A,sbrabec,Done,Should Have,kstreitova,sbrabec,Low,SLE-21110,Low,Medium,High
SLE-21183,492380,#N/A,sbrabec,Done,Could Have,kstreitova,sbrabec,Low,SLE-21112,Low,Medium,High
SLE-20052,488590,#N/A,#N/A,In Progress,Should Have,yfjiang,none,#N/A,SLE-19965,#N/A,#N/A,#N/A
SLE-19740,487462,#N/A,federico-mena,Open,Should Have,sreeves1,none,Low,SLE-18652,#N/A,#N/A,#N/A
SLE-19550,486602,#N/A,sndirsch,Done,Must Have,ptesarik,none,#N/A,SLE-18653,#N/A,#N/A,#N/A
SLE-19546,486598,#N/A,mgorse,In Progress,Should Have,sreeves1,none,#N/A,SLE-17884,#N/A,#N/A,#N/A
SLE-19538,486590,#N/A,yfjiang,Open,Could Have,yfjiang,#N/A,Medium,SLE-17244,#N/A,#N/A,#N/A
SLE-17363,455898,#N/A,federico-mena,In Progress,Should Have,sreeves1,#N/A,Low,SLE-17243,#N/A,#N/A,#N/A
SLE-14424,437778,#N/A,#N/A,Open,Could Have,claudiofontana,charlesa,#N/A,SLE-12117,#N/A,#N/A,#N/A
SLE-10866,411373,#N/A,#N/A,Blocked,Could Have,locilka,#N/A,#N/A,SLE-5518,Medium,Medium,Medium
SLE-22630,501197,a_faerber,ykaukab,Done,Should Have,ptesarik,ykaukab,#N/A,SLE-22616,Medium,#N/A,#N/A
SLE-22628,501193,aginies,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-22385,Low,Medium,High
SLE-22626,501191,aginies,#N/A,Planning,Should Have,fsundermeyer,#N/A,#N/A,SLE-22296,Low,Medium,High
SLE-22618,501181,suntorytimed,#N/A,Planning,Must Have,#N/A,#N/A,#N/A,SLE-17603,#N/A,#N/A,#N/A
SLE-22602,501108,holgisms,poswald,Planning,Must Have,hreinecke,none,#N/A,SLE-19246,#N/A,#N/A,#N/A
SLE-22586,501062,msmeissn,shunghsiyu,Done,Must Have,mhocko,none,#N/A,SLE-22575,Medium,#N/A,#N/A
SLE-22585,500923,gameboy974,firstyear,Open,Could Have,jmcdough,none,#N/A,SLE-18534,#N/A,#N/A,#N/A
SLE-22583,500911,suntorytimed,#N/A,Planning,Could Have,#N/A,#N/A,#N/A,SLE-17196,#N/A,#N/A,#N/A
SLE-22579,500901,suntorytimed,rwill,Open,Should Have,BenniBrunner,rwill,#N/A,SLE-22542,Medium,#N/A,#N/A
SLE-22570,500814,suntorytimed,#N/A,Open,Should Have,Neyleah,gyribeiro,Low,SLE-22543,Medium,#N/A,#N/A
SLE-22561,500796,msmeissn,#N/A,Planning,Could Have,kstreitova,#N/A,#N/A,SLE-20287,Low,Medium,High
SLE-22558,500790,horon,#N/A,Planning,Should Have,rjschwei,none,#N/A,SLE-22479,Low,Medium,High
SLE-22533,500596,suntorytimed,#N/A,Rejected,Should Have,#N/A,none,#N/A,SLE-20908,Low,Medium,High
SLE-22532,500595,suntorytimed,#N/A,Planning,Wish to Have,lrupp,none,#N/A,SLE-21115,Low,Medium,High
SLE-22528,500591,suntorytimed,#N/A,Planning,Wish to Have,kstreitova,none,#N/A,SLE-21115,Low,Medium,High
SLE-22524,500583,suntorytimed,#N/A,Planning,Should Have,j_renner,none,#N/A,SLE-22142,Low,Medium,High
SLE-22520,500579,aginies,#N/A,In Progress,Could Have,#N/A,none,#N/A,SLE-22244,Low,Medium,High
SLE-22518,500577,suntorytimed,#N/A,Rejected,Should Have,#N/A,none,#N/A,SLE-22147,Low,Medium,High
SLE-22515,500574,suntorytimed,adamm,In Progress,Should Have,bruclik,none,#N/A,SLE-22289,Low,Medium,High
SLE-22512,500571,suntorytimed,firstyear,In Progress,Should Have,jmcdough,none,#N/A,SLE-22290,Low,Medium,High
SLE-22510,500568,suntorytimed,goldwynr,Done,Should Have,goldwynr,goldwynr,#N/A,SLE-21924,Low,Medium,High
SLE-22456,499873,aginies,#N/A,Planning,Wish to Have,#N/A,none,#N/A,SLE-22300,Low,Medium,High
SLE-22455,499864,aherzig,dancermak,Planning,Should Have,#N/A,none,#N/A,SLE-22394,Low,Medium,High
SLE-22446,499738,aherzig,dancermak,Open,Could Have,#N/A,none,#N/A,SLE-22427,Low,Medium,High
SLE-22438,499730,aherzig,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-22145,Low,Medium,High
SLE-22430,499722,aherzig,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-22390,Low,Medium,High
SLE-22424,499716,aherzig,dancermak,In Progress,Should Have,#N/A,none,#N/A,SLE-22392,Low,Medium,High
SLE-22416,499708,aherzig,dancermak,In Progress,Should Have,#N/A,none,#N/A,SLE-22394,Low,Medium,High
SLE-22406,499698,aherzig,dancermak,Blocked,Should Have,#N/A,none,#N/A,SLE-22396,Low,Medium,High
SLE-22386,499595,Jeffreycheung,#N/A,Done,Must Have,#N/A,colyli,#N/A,SLE-22233,Low,Medium,High
SLE-22722,502667,aginies,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-22652,Medium,#N/A,#N/A
SLE-22716,502651,Jeffreycheung,#N/A,Planning,Should Have,mhocko,bpetkov,#N/A,SLE-22676,Medium,#N/A,#N/A
SLE-22708,502603,gameboy974,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-22704,Medium,Medium,Medium
SLE-22695,502499,aginies,#N/A,Open,Must Have,#N/A,charlesa,#N/A,SLE-22653,Medium,#N/A,#N/A
SLE-22688,502466,ihno,#N/A,Planning,Must Have,jeff_mahoney,none,#N/A,SLE-22496,Low,Medium,High
SLE-22680,502432,rtsvetkov,#N/A,Rejected,Should Have,#N/A,none,#N/A,SLE-22664,Medium,#N/A,#N/A
SLE-22666,501476,horon,#N/A,Planning,Must Have,ptesarik,none,#N/A,SLE-18271,#N/A,#N/A,#N/A
SLE-22658,501454,LPechacek,#N/A,Done,Could Have,#N/A,none,#N/A,SLE-22478,Low,Medium,High
SLE-22868,503266,fcrozat,yfjiang,Planning,Should Have,yfjiang,none,#N/A,SLE-22865,Medium,Medium,Medium
