Issue key,Issue id,Project Manager,Status,Priority,Marketing Need,Business Impact,Summary,Customer Interest,Product,Product Manager
SLE-20049,488586,LPechacek,In Progress,Should Have,High,,Provide User Space Live Patching (ULP),,SUSE Linux Enterprise Live Patching 15 SP4,sbehlert
SLE-19964,488052,fcrozat,In Progress,Should Have,Low,,Tech Preview to enable Wayland on the latest Nvidia proprietary driver.,,SUSE Linux Enterprise Workstation Extension 15 SP4,sbehlert
SLE-22050,495952,aginies,In Progress,Should Have,Medium,,HPC: update packages to latest version,,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-19983,488099,aginies,Ready to release,Could Have,Low,Low,HPC: Request to include mpi/cray-shasta plugin in slurm for 15-SP4,High,SUSE Linux Enterprise HPC 15 SP4,sbehlert
SLE-22894,503351,LMartin,In Progress,Should Have,Medium,,Update HA packages for 15 SP4,,SUSE Linux Enterprise High Availability Extension 15 SP4,a_jaeger
SLE-22678,502376,aginies,In Progress,Should Have,Medium,Medium,Refresh 'spack' to 0.17,High,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-21335,492963,aginies,Ready to release,Should Have,Medium,High,HPC: Update mpich to 3.4.2 or later,High,SUSE Linux Enterprise HPC 15 SP4,sbehlert
SLE-21334,492962,aginies,In Progress,Should Have,Medium,,HPC: Update SLURM to 22.05 or later,Medium,SUSE Linux Enterprise HPC 15 SP4,sbehlert
SLE-21556,493589,LMartin,Rejected,Should Have,Medium,Medium,REAR 2.7 needed by customer for Micro Focus Data Protector,High,SUSE Linux Enterprise High Availability Extension 15 SP4,a_jaeger
SLE-21918,495399,aginies,In Progress,Should Have,Medium,High,[HPC] Add RedHat Compatibility to wicked to support Warewulf4,High,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-17777,462980,aginies,In Progress,Should Have,Low,,HPC:  optimise the product focusing on a SLE HPC ready OS (SLE 15 SP4: drop),,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-17887,478363,aginies,In Progress,Should Have,Medium,,HPC:  Improve system to be ready for HPC,,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-12352,424951,aginies,In Progress,Could Have,Medium,,Provide a Tool to create a Container from the currently set HPC Environment ,,SUSE Linux Enterprise HPC 15 SP4,msvec
SLE-21647,494271,LMartin,In Progress,Must Have,Low,Medium,Deprecate yast2 saptune module,Low,SUSE Linux Enterprise Server for SAP Applications 15 SP4,a_jaeger
SLE-20031,488431,LMartin,In Progress,Could Have,Low,Medium,remove libssh2-1 from sap-hana pattern,High,SUSE Linux Enterprise Server for SAP Applications 15 SP4,a_jaeger
SLE-22807,502894,LMartin,In Progress,Must Have,Medium,High,Deliver Trento agent to SLES4SAP,Very High,SUSE Linux Enterprise Server for SAP Applications 15 SP4,a_jaeger
SLE-20651,490766,LMartin,Rejected,Must Have,High,High,Support Ansible as part of SLES for SAP,Medium,SUSE Linux Enterprise Server for SAP Applications 15 SP4,a_jaeger
