Issue key;Issue id;Custom field (Project Manager);Assignee;Status;Priority;Custom field (Marketing Need);Custom field (Team Leader);Custom field (Worker);Custom field (Business Impact);Custom field (Product Impact);Summary;Custom field (Customer Interest)
SLE-22628;501193;aginies;;Planning;Should Have;;;none;;N/A;Dev: Add open-vm-tools to SLES aarch64 build;
SLE-22618;501181;suntorytimed;;Planning;Must Have;;;;;N/A;Dev: SUSEConnect: Provide a self-contained SUSEConnect without dependencies to a full interpreter stack (Ruby/Python/others);
SLE-22583;500911;suntorytimed;;Planning;Could Have;;;;;N/A;Dev: Request to include a new package: sassit;
SLE-22658;501454;LPechacek;;Done;Could Have;;;none;;N/A;Dev: [SLES15 SP4 Feat] Intel QAT Update - Kernel;
SLE-22533;500596;suntorytimed;;Rejected;Should Have;;;none;;N/A;Dev: document lifecycles and support of various components in SLE  better;
SLE-22518;500577;suntorytimed;;Rejected;Should Have;;;none;;N/A;Dev: IBM Power 10 released - website updates;
SLE-22456;499873;aginies;;Planning;Wish to Have;;;none;;N/A;Dev: Support virtual instances up to 24TB and 8192 vcpus;
SLE-22455;499864;aherzig;dancermak;Planning;Should Have;;;none;;N/A;Dev: Support BCI images with PHP 8.0 runtime;
SLE-22316;499019;Jeffreycheung;;Done;Should Have;;;jirislaby;;N/A;Dev: hpwdt driver update to latest upstream version;
SLE-22314;499017;Jeffreycheung;;Done;Should Have;;;jirislaby;;N/A;Dev: hpilo driver update to latest upstream version;
SLE-22358;499157;aherzig;;Planning;Must Have;;;none;;N/A;Dev: The SLE BCI is larger than competitors ;
SLE-22438;499730;aherzig;;Planning;Must Have;;;none;;N/A;Dev: BCI/UBI parity;
SLE-22430;499722;aherzig;;Planning;Should Have;;;none;;N/A;Dev: BCI: Ruby Language Container;
SLE-22424;499716;aherzig;dancermak;In Progress;Should Have;;;none;;N/A;Dev: BCI: Rust Language Container;
SLE-22416;499708;aherzig;dancermak;In Progress;Should Have;;;none;;N/A;Dev: Support BCI images with PHP 7.4 runtime;
SLE-22386;499595;Jeffreycheung;;Done;Must Have;;;colyli;;N/A;Dev: ahci: Decouple Dell SW-RAID solution from underlying PCH-RAID device-ids;
SLE-22214;497292;fcrozat;;Done;Should Have;;;none;;N/A;Dev: Publish SLE BCI minimal image;
SLE-22207;497255;aherzig;;Planning;Must Have;;;none;;N/A;Dev: Support SLE containers on VMware Tanzu;
SLE-22197;497170;aherzig;fcrozat;Planning;Must Have;;;none;;N/A;Dev: Enrich SLE BCI repository;
SLE-22140;496663;aginies;;In Progress;Should Have;;;none;;N/A;Dev: [HPC] provide latest stable version of spack;
SLE-21324;492881;msmeissn;msmeissn;Done;Could Have;;;;;N/A;Dev: Delivery based security information;
SLE-21279;492695;suntorytimed;;Planning;Should Have;;;none;;N/A;Dev: Update redis to its latest stable version;
SLE-21162;492239;;;Planning;Should Have;;;none;;N/A;Dev: support more chinese cryptographic ciphers;
SLE-21915;495396;suntorytimed;mcepl;Done;Should Have;;;none;;N/A;Dev: replace bzr with breezy;
SLE-21901;495279;fcrozat;;Planning;Could Have;;;none;;N/A;Dev: Remove libmodman package on SLE-15-SP4.;
SLE-21899;495277;fcrozat;;Planning;Must Have;;;none;;N/A;Dev: use suse.com infrastructure for NetworkManager connection detection;
